1990亚运会	1990 Asian Games
798艺术区	798 Art District
奥体记忆	CBD
白连升故居	CBD East Extension
白领精英	CBD Gateway
白塔	CCTV Headquarters
白塔红墙	SKP
百货大楼	Garden of Myriad Gardens
百年动物园	Three Hills and Five Gardens
百年商圈	Sanlitun
报馆故居	Sanlihe (canal quarter)
报刊出版	World Garden Showcase
北海公园	Dongsi First-Alley Quarter
北京绿肺	CITIC Tower
北京南大门	China Zun
北京塞纳河	China's Silicon Valley
滨水乐园	Zhonghai Plaza
滨水夜游	Central Axis
博览万象	Central Axis Panorama
博雅塔	South Anchor of the Central Axis
藏传佛教	Fengzeyuan Restaurant
曹雪芹故居	Theme Park
漕运历史	LiZe SOHO
常营美食	Nine-Dragon Wall
潮流橱窗	Mountain-of-Books Architecture
潮流据点	Calligraphy and painting
潮流前沿	Birthplace of the Qianlong Emperor
潮流艺创	Second Gate (Tsinghua)
沉浸式体验	Internet DNA
城门遗风	Transport hub
城市地标	Major transport town
城市绿肺	Transport gateway
城市水系	Ancient western Beijing route
城市阳台	Western Beijing cultural belt
城中水系	Family outings
传媒中心	People's Daily Headquarters
传统文化	Refined urban living
传统戏曲	Media hub
传统制造	Traditional manufacturing
船工号子	Traditional opera
创新创业	Traditional culture
创业咖啡	Sports landmark
创意民居	Sports and athletics
创意小铺	Embassy district
垂直中庭	Yuan-era hutongs
春季赏花	Yuan Dadu wall relics
磁器交易史	Quanjude roast duck
错峰游览	Park greenways
大裤衩	Rare books and classics
大水法	Military history
大运河北端	China Agricultural University
大栅栏	Beijing 2022 Organizing Committee
大宅门	Phoenix Center
当代艺术馆	Capita Mall
典籍珍本	Startup café culture
电影IP	Creative boutiques
电子卖场变迁	Creative residential renewal
东四条头	Innovation and entrepreneurship
冬奥组委	Sub-center ecology
都市活力	Sub-center gateway
多元美食	Beijing southern gateway
多元民族	"Beijing's Seine" riverfront vibe
二校门	Beijing green lung
法海寺壁画	Beihai Park
法源寺	Regional connectivity
繁华旧影	Historic Friday mosque
非遗交易	Millennium Grand Canal
非遗老字号	Huaxi LIVE
非遗文化	China Central Place
丰泽园	Southern city culture
凤凰中心	Panoramic Discovery
副中心门户	Boya Pagoda
副中心生态	Lugou Bridge (Marco Polo Bridge)
钢铁文化	Wofo Temple (Reclining Buddha)
高等学府	History and military
高教区	Historical reflection
高石墓	Historic famous street
高铁门户	Historic loyalty
高铁之门	Historic execution ground
高雅艺术	Historical witness
革命地标	Dual-Olympics legacy
革命圣地	Shuangqing Villa
工匠精神	Rare-book collecting
工业包豪斯	Ancient city gate ruins
工业遗存	Ancient architecture and city walls
工业遗址	Antique market stalls
公园绿道	Ancient books and manuscripts
宫廷禁地	Heritage preservation
购物天堂	Historic relics
购物中心	Famous pavilion sites
古城门遗址	Scholars' former residences
古籍文献	Houhai
古迹保护	Sunflower fields
古迹遗址	Heping Guoju (retro mall)
古建城垣	Hepingli
古书收藏	Hadamen (Chongwenmen legacy)
古玩地摊	Commercial district
故宫	Siheyuan courtyard houses
硅谷情结	Hui Muslim community
簋街	Echo wall
簋街美食	Garden Expo
贵胃气息	Garden arts
国际留学生	Garden ruins
国际美食	National Stadium
国际商圈	National Centre for the Performing Arts
国际社区	National symbol
国际生活	International business district
国家大剧院	International lifestyle
国家体育场	International students
国家象征	International community
哈德门	Global cuisine
海龙鼎好回忆	Beijing Book Building
海棠花溪	Earthen city wall
韩国社区	Vertical atrium
航空文化	In-city water system
和平菓局	Urban landmark
和平里	Urban waterways
河道复原	Urban green lung
红楼梦	City "balcony" viewpoint
红色记忆	Legacy of old city gates
红叶	Multi-ethnic communities
红砖建筑	Diverse food scene
后海	Nightlife
胡同创意	Grand mansion heritage
胡同咖啡	Dashilar
胡同民居	Grand Fountain ruins
胡同深处	CCTV "Big Underpants" Tower
胡同生活	North end of the Grand Canal
胡同水景	Catholic church
互联网基因	Cosmic order (round heaven, square earth)
户外展馆	Tianqiao Performing Arts Center
护国寺小吃	Luxury retail peak
华贸中心	Olympic heritage
华熙LIVE	Entertainment extravaganza
画廊区	Media hub
怀旧生活	ByteDance
环球影城	Academic new town
换乘之王	Academic groves
皇城遗韵	Hall of learning
皇家避暑	Academic atmosphere
皇家工艺	Student nightlife
皇家祭祀	"Center of the Universe" (nickname)
皇家林苑	Religious architecture
皇家墓葬	Wanping fortress town
皇家水系	Aesthetic hub
皇家园林	Imperial palace sanctum
黄教寺庙	Late-night supper culture
